Date,Close,Open,High,Low,Volume,,,,,,,,
01/04/2021, $43.31 , $43.98 , $44.31 , $42.15 ,"16,364,904",,,,,,,,
05/04/2021, $41.64 , $42.75 , $43.40 , $40.79 ,"22,810,790",,,,,,,,
06/04/2021, $43.38 , $41.56 , $44.34 , $41.56 ,"23,200,401",,,,,,,,
07/04/2021, $43.39 , $44.67 , $45.47 , $42.50 ,"15,198,399",,,,,,,,
08/04/2021, $41.88 , $43.21 , $43.62 , $41.38 ,"14,780,462",,,,,,,,
09/04/2021, $42.00 , $41.65 , $42.59 , $41.25 ,"14,390,398",,,,,,,,
12/04/2021, $40.38 , $41.89 , $42.48 , $40.32 ,"10,108,826",,,,,,,,
13/04/2021, $40.38 , $40.17 , $41.32 , $39.69 ,"10,200,453",,,,,,,,
14/04/2021, $38.38 , $39.00 , $40.11 , $38.06 ,"35,615,946",,,,,,,,
15/04/2021, $37.82 , $38.79 , $38.95 , $37.27 ,"15,764,027",,,,,,,,
16/04/2021, $37.34 , $37.95 , $38.27 , $37.11 ,"15,955,499",,,,,,,,
19/04/2021, $36.37 , $37.44 , $37.62 , $35.96 ,"15,280,240",,,,,,,,
20/04/2021, $35.47 , $36.54 , $36.55 , $35.28 ,"11,144,561",,,,,,,,
21/04/2021, $38.48 , $35.16 , $38.51 , $34.81 ,"21,090,622",,,,,,,,
22/04/2021, $38.21 , $38.68 , $39.17 , $37.57 ,"18,289,125",,,,,,,,
23/04/2021, $38.40 , $38.39 , $38.70 , $37.42 ,"10,104,026",,,,,,,,
26/04/2021, $38.85 , $38.50 , $39.03 , $37.35 ,"10,454,922",,,,,,,,
27/04/2021, $39.01 , $38.63 , $39.55 , $38.40 ,"7,560,211",,,,,,,,
28/04/2021, $37.49 , $35.96 , $37.78 , $35.56 ,"16,863,554",,,,,,,,
29/04/2021, $37.95 , $38.46 , $38.67 , $37.15 ,"12,812,474",,,,,,,,
30/04/2021, $37.66 , $37.96 , $38.80 , $37.53 ,"5,914,050",,,,,,,,
03/05/2021, $36.12 , $37.36 , $37.53 , $35.65 ,"13,788,768",,,,,,,,
04/05/2021, $36.52 , $36.09 , $36.58 , $35.30 ,"7,026,156",,,,,,,,
05/05/2021, $36.66 , $36.47 , $36.88 , $35.96 ,"5,173,529",,,,,,,,
06/05/2021, $36.25 , $37.08 , $37.39 , $35.83 ,"6,745,680",,,,,,,,
07/05/2021, $37.56 , $36.48 , $37.73 , $36.10 ,"8,232,037",,,,,,,,
10/05/2021, $37.26 , $37.70 , $38.07 , $37.08 ,"6,194,008",,,,,,,,
11/05/2021, $36.79 , $36.29 , $37.35 , $35.97 ,"5,517,137",,,,,,,,
12/05/2021, $35.76 , $36.77 , $37.41 , $35.69 ,"5,041,043",,,,,,,,
13/05/2021, $35.23 , $35.88 , $36.83 , $34.64 ,"8,194,573",,,,,,,,
14/05/2021, $35.65 , $35.61 , $36.04 , $35.02 ,"4,715,907",,,,,,,,
17/05/2021, $33.85 , $39.24 , $39.70 , $33.43 ,"89,513,247",,,,,,,,
18/05/2021, $33.31 , $33.76 , $34.52 , $32.44 ,"31,351,552",,,,,,,,
19/05/2021, $33.11 , $32.68 , $33.60 , $32.54 ,"18,898,394",,,,,,,,
20/05/2021, $31.85 , $33.34 , $33.51 , $31.75 ,"19,397,040",,,,,,,,
21/05/2021, $31.47 , $31.99 , $32.35 , $31.36 ,"17,539,925",,,,,,,,
24/05/2021, $31.28 , $31.32 , $31.82 , $30.61 ,"12,265,879",,,,,,,,
25/05/2021, $30.66 , $31.56 , $31.72 , $30.56 ,"10,209,207",,,,,,,,
26/05/2021, $31.82 , $30.71 , $32.05 , $30.70 ,"11,316,436",,,,,,,,
27/05/2021, $32.52 , $31.80 , $32.76 , $31.51 ,"9,663,929",,,,,,,,
28/05/2021, $32.11 , $32.55 , $32.69 , $32.02 ,"8,168,042",,,,,,,,
01/06/2021, $32.00 , $32.28 , $32.45 , $31.88 ,"7,727,303",,,,,,,,
02/06/2021, $32.15 , $32.29 , $32.57 , $31.36 ,"8,556,597",,,,,,,,
03/06/2021, $31.63 , $32.09 , $32.40 , $31.31 ,"6,681,627",,,,,,,,
04/06/2021, $31.55 , $31.75 , $31.90 , $31.17 ,"5,115,434",,,,,,,,
07/06/2021, $31.24 , $31.67 , $31.98 , $31.16 ,"5,046,410",,,,,,,,
08/06/2021, $30.04 , $31.22 , $31.31 , $29.94 ,"12,160,227",,,,,,,,
09/06/2021, $30.56 , $30.09 , $31.00 , $30.01 ,"6,625,695",,,,,,,,
10/06/2021, $30.14 , $30.67 , $30.85 , $29.97 ,"7,832,736",,,,,,,,
11/06/2021, $30.79 , $30.40 , $30.81 , $30.24 ,"5,280,078",,,,,,,,
14/06/2021, $30.82 , $30.96 , $31.48 , $30.66 ,"5,177,876",,,,,,,,
15/06/2021, $30.07 , $30.82 , $31.53 , $30.05 ,"6,912,577",,,,,,,,
16/06/2021, $30.46 , $30.02 , $30.59 , $29.54 ,"7,134,194",,,,,,,,
17/06/2021, $29.41 , $30.32 , $30.49 , $29.34 ,"7,728,995",,,,,,,,
18/06/2021, $29.08 , $29.26 , $29.50 , $28.89 ,"10,228,824",,,,,,,,
21/06/2021, $29.69 , $29.15 , $29.73 , $29.01 ,"7,984,605",,,,,,,,
22/06/2021, $29.49 , $29.69 , $29.70 , $29.02 ,"6,575,488",,,,,,,,
23/06/2021, $29.51 , $29.34 , $30.07 , $29.34 ,"9,244,431",,,,,,,,
24/06/2021, $30.32 , $29.64 , $30.36 , $29.46 ,"6,667,560",,,,,,,,
25/06/2021, $30.86 , $30.35 , $30.98 , $30.11 ,"6,852,219",,,,,,,,
